NOC,Year,GDP_per_Capita
AUS,2012,974506449193.729
AUT,2012,391635006784.26
BLR,2012,171127080561.616
BRA,2012,2992140131710.98
CAN,2012,1468097961846.59
CHN,2012,15212933582532.8
CZE,2012,307490190596.132
ESP,2012,1483654111796.67
FRA,2012,2474003939353.38
GBR,2012,2442462879506.98
HUN,2012,230821510873.975
ITA,2012,2172383785077.79
JAM,2012,23214929063.4246
JPN,2012,4799612889015.1
KAZ,2012,369783340663.465
KEN,2012,124961878452.748
KOR,2012,1684562928828.18
NOR,2012,330093387414.194
NZL,2012,145420433772.705
POL,2012,897877592741.882
RUS,2012,3480299219245.86
SWE,2012,432488311645.095
UKR,2012,441412985744.166
USA,2012,16253970000000.0
AUS,2013,1062414874202.12
AUT,2013,406370494341.228
BLR,2013,179553714196.486
BRA,2013,3120542014445.91
CAN,2013,1554125000000.0
CHN,2013,16374803441524.1
CZE,2013,324029971676.001
ESP,2013,1512562240663.9
FRA,2013,2608522466158.15
GBR,2013,2562195072837.32
HUN,2013,242855184363.456
ITA,2013,2187377576803.98
JAM,2013,24023892586.5579
JPN,2013,5021591088716.88
KAZ,2013,417039504506.503
KEN,2013,139746695151.583
KOR,2013,1726902752731.95
NOR,2013,342254463749.269
NZL,2013,160996114051.449
POL,2013,925133013061.528
RUS,2013,3741783381914.27
SWE,2013,444616519268.393
UKR,2013,502958216930.577
USA,2013,16880683000000.0
AUS,2014,1101347411236.85
AUT,2014,417059741085.658
BLR,2014,179879136842.301
BRA,2014,3166808963772.23
CAN,2014,1621395561291.92
CHN,2014,17423231129699.6
CZE,2014,342099831459.922
ESP,2014,1558985384059.1
FRA,2014,2662033396692.53
GBR,2014,2666661894153.29
HUN,2014,253484631538.851
ITA,2014,2200255257934.9
JAM,2014,24397287651.2427
JPN,2014,5034454618847.27
KAZ,2014,426844567293.671
KEN,2014,154709329446.165
KOR,2014,1792600237630.01
NOR,2014,340765243535.079
NZL,2014,168455574604.541
POL,2014,962317685845.28
RUS,2014,3763534951277.15
SWE,2014,457507742235.106
UKR,2014,458591716288.241
USA,2014,17608138000000.0
AUS,2015,1102492313517.56
AUT,2015,430975998137.236
BLR,2015,171563080410.21
BRA,2015,2989121457827.16
CAN,2015,1594851775821.65
CHN,2015,18216461648412.0
CZE,2015,357503876184.69
ESP,2015,1621825074465.2
FRA,2015,2718496736713.76
GBR,2015,2767234470818.76
HUN,2015,263781871939.868
ITA,2015,2240921139199.72
JAM,2015,25182384150.2051
JPN,2015,5199915217476.25
KAZ,2015,406611059018.014
KEN,2015,173206956148.628
KOR,2015,1933588947770.48
NOR,2015,315145024684.581
NZL,2015,172797415992.0
POL,2015,1018896775056.14
RUS,2015,3526235948513.73
SWE,2015,481170737701.317
UKR,2015,431227247239.316
USA,2015,18295019000000.0
AUS,2016,1143970717633.14
AUT,2016,460282766423.271
BLR,2016,168862491607.69
BRA,2016,2907889886097.55
CAN,2016,1678092366067.55
CHN,2016,19265339702246.8
CZE,2016,381420338169.846
ESP,2016,1734117178406.71
FRA,2016,2864106383742.44
GBR,2016,2892297884267.13
HUN,2016,274222712840.714
ITA,2016,2420671363968.59
JAM,2016,26411115826.8499
JPN,2016,5158900389806.61
KAZ,2016,422786764645.624
KEN,2016,188546457052.59
KOR,2016,2026967821102.36
NOR,2016,310303329051.275
NZL,2016,188310543730.5
POL,2016,1069459264341.9
RUS,2016,3538975998887.58
SWE,2016,500423685300.432
UKR,2016,469908642632.233
USA,2016,18804912999999.9
AUS,2017,1190737658818.33
AUT,2017,476590426691.819
BLR,2017,174175106235.251
BRA,2017,2980287463599.86
CAN,2017,1765762548007.77
CHN,2017,20594682031575.0
CZE,2017,411327867894.58
ESP,2017,1842771293467.92
FRA,2017,2983008898740.32
GBR,2017,3041891554350.64
HUN,2017,288707447254.494
ITA,2017,2517184209191.25
JAM,2017,27651386383.771
JPN,2017,5262254961496.86
KAZ,2017,447143865260.692
KEN,2017,205511364865.135
KOR,2017,2103651261121.49
NOR,2017,340837019722.395
NZL,2017,203167246580.789
POL,2017,1137654421219.15
RUS,2017,3807101264909.25
SWE,2017,522476835542.435
UKR,2017,496521669473.448
USA,2017,19612102000000.1
AUS,2018,1254437048890.68
AUT,2018,503361092130.55
BLR,2018,189021397896.308
BRA,2018,3187189640258.87
CAN,2018,1852985933143.48
CHN,2018,22453857449614.6
CZE,2018,437355919171.827
ESP,2018,1905449210032.32
FRA,2018,3125379876905.32
GBR,2018,3129649825363.44
HUN,2018,311927136865.25
ITA,2018,2600325592797.6
JAM,2018,28300462384.3033
JPN,2018,5344060957173.08
KAZ,2018,475138151280.585
KEN,2018,221491717233.004
KOR,2018,2220442287180.66
NOR,2018,373182530590.832
NZL,2018,208272451464.565
POL,2018,1216240206906.1
RUS,2018,4231842328030.95
SWE,2018,544594045419.741
UKR,2018,537198415902.321
USA,2018,20656516000000.0
AUS,2019,1336328929938.81
AUT,2019,537897842704.908
BLR,2019,210075455425.408
BRA,2019,3333775621737.55
CAN,2019,1899695367283.6
CHN,2019,24300741817604.1
CZE,2019,478737959837.413
ESP,2019,2061660467680.02
FRA,2019,3452965773973.93
GBR,2019,3335878386954.69
HUN,2019,343481047231.953
ITA,2019,2775612623552.04
JAM,2019,28468528877.0366
JPN,2019,5404462313923.95
KAZ,2019,551108130794.884
KEN,2019,240006995767.663
KOR,2019,2270666072345.05
NOR,2019,379377632591.484
NZL,2019,224879077249.261
POL,2019,1347315397717.0
RUS,2019,4579553861372.4
SWE,2019,588258408215.734
UKR,2019,604396090412.295
USA,2019,21521395000000.0
AUS,2020,1386702982120.14
AUT,2020,522624838947.364
BLR,2020,233301354383.785
BRA,2020,3359777233099.99
CAN,2020,1847837502049.2
CHN,2020,25246667832981.6
CZE,2020,469876999410.796
ESP,2020,1845713578821.49
FRA,2020,3344383971188.32
GBR,2020,3220293643239.06
HUN,2020,341546873384.495
ITA,2020,2627330094323.51
JAM,2020,25451633088.1949
JPN,2020,5358320688497.43
KAZ,2020,565757228613.755
KEN,2020,250255393335.358
KOR,2020,2340031075342.67
NOR,2020,361019819522.159
NZL,2020,230501909066.184
POL,2020,1376571678922.9
RUS,2020,4651428694918.23
SWE,2020,597293428245.195
UKR,2020,656105592902.92
USA,2020,21322950000000.0
AUS,2021,1474501352807.93
AUT,2021,567987424821.541
BLR,2021,256855349956.288
BRA,2021,3787769507879.98
CAN,2021,2133084584492.55
CHN,2021,28821648700423.3
CZE,2021,508669685129.785
ESP,2021,2068305576331.49
FRA,2021,3648077705347.78
GBR,2021,3541778829454.69
HUN,2021,375267848770.74
ITA,2021,2950840663460.92
JAM,2021,27176946493.566
JPN,2021,5599031809810.88
KAZ,2021,650469813945.991
KEN,2021,284129273925.386
KOR,2021,2514520654062.95
NOR,2021,482471574840.693
NZL,2021,246334202069.855
POL,2021,1527350128193.29
RUS,2021,5732443748434.11
SWE,2021,660102487151.81
UKR,2021,746470597165.435
USA,2021,23594030999999.9
AUS,2022,1700455865579.78
AUT,2022,641751890596.523
BLR,2022,262133195246.253
BRA,2022,4176778228978.4
CAN,2022,2415839858207.44
CHN,2022,31773150449261.9
CZE,2022,551769302070.26
ESP,2022,2326112195711.89
FRA,2022,3914741997976.67
GBR,2022,3847920019162.97
HUN,2022,420223657435.453
ITA,2022,3295256338368.66
JAM,2022,30609447657.4375
JPN,2022,5895687814585.3
KAZ,2022,718550188290.824
KEN,2022,318875197393.327
KOR,2022,2667437701775.83
NOR,2022,678063487579.722
NZL,2022,267771301960.407
POL,2022,1720333212668.97
RUS,2022,6009067722328.82
SWE,2022,714036865582.495
UKR,2022,569240080816.391
USA,2022,25744108000000.1
